Fruit,Vitamins,Cals,Benefits,Glycemic Load per cup,Link
Blood orange,"Fiber, Thiamin, Folate, Potassium, Vitamin C",103 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth, Immunity",8,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1978/2
Clementine,"Fiber, Thiamin, Folate, Potassium, Vitamin C",103 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth, Immunity",8,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1978/2
Mandarine,"Fiber, Vitamin A, C",103 calories/cup,"Eyes, Skin, Digestion, Teeth",8,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1978/2
Tangerine,"Fiber, Vitamin A, C",103 calories/cup,"Eyes, Skin, Digestion, Teeth",8,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1978/2
Papaya,"Fiber, Potassium, Vitamin A, C, Folate",55 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",3,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1985/2
Passionfruit,"Potassium, Fiber, Vitamin A, C",229 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",14,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1987/2
Peach,"Fiber, Vitamin A, C, Niacin, Potassium",60 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",5,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1990/2
Pear,"Vitamin C, Fiber",81 calories/cup,"Eyes, Skin, Digestion, Teeth",5,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2005/2
Persimmon,"Iron, Vitamin C",118 calories/cup,"Eyes, Skin, Teeth",15,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2018/2
Plantain,"Vitamin A, B6, C, Potassium",181 calories/cup,"Eyes, Skin, Blood Pressure, Teeth",19,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2030/2
Plum,"Fiber, Vitamin A, K, C",76 calories/cup,"Eyes, Skin, Digestion, Teeth",5,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2032/2
Prune,"Fiber, Vitamin K",418 calories/cup,"Skin, Digestion",54,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2043/2
Pineapple,"Fiber, Thiamin, Vitamin B6, C, Copper, Manganese",82 calories/cup,"Eyes, Skin, Digestion, Teeth, Immunity",6,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2019/2
Pluot,"Fiber, Vitamin C, K",137 calories/cup,"Eyes, Skin, Digestion, Teeth",6,http://www.myfitnesspal.com/food/calories/fruit-pluot-237300821#
Pomegranate,"Fiber, Folate, Vitamin C, K",144 calories/cup,"Eyes, Skin, Digestion, Teeth",10,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2038/2
Mangosteen,Folate,158 calories/cup,,10,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1953/2
Raspberry,"Vitamin K, C Magnesium, Fiber, Manganese",64 calories/cup,"Eyes, Skin, Digestion, Teeth",3,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2053/2
Rambutan,"Fiber, Manganese",123 calories/cup,"Skin, Digestion",11,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2052/2
Star fruit,"Pantothenic Acid, Potassium, Fiber, Vitamin C, Copper",41 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",3,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1858/2
Strawberry,"Folate, Potassium, Fiber, Vitamin C, Manganese",49 calories/cup,"Eyes, Skin, Digestion, Blood Pressure, Teeth",3,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2064/2
Tamarind,Thiamin,287 calories/cup,Immunity,38,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2070/2
